/* Index,filename,t_relative,t_clock
0,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_000.bmp,0.0000,2021.02.11 03:21:16.708
1,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_001.bmp,0.0717,2021.02.11 03:21:16.780
2,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_002.bmp,0.1433,2021.02.11 03:21:16.852
3,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_003.bmp,0.2150,2021.02.11 03:21:16.923
4,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_004.bmp,0.2867,2021.02.11 03:21:16.995
5,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_005.bmp,0.3583,2021.02.11 03:21:17.067
6,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_006.bmp,0.4300,2021.02.11 03:21:17.138
7,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_007.bmp,0.5017,2021.02.11 03:21:17.210
8,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_008.bmp,0.5733,2021.02.11 03:21:17.282
9,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_009.bmp,0.6450,2021.02.11 03:21:17.353
10,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark1_010.bmp,0.7883,2021.02.11 03:21:17.497
