/* Index,filename,t_relative,t_clock
0,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_000.bmp,0.0000,2021.02.11 03:20:34.066
1,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_001.bmp,0.0716,2021.02.11 03:20:34.138
2,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_002.bmp,0.1433,2021.02.11 03:20:34.210
3,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_003.bmp,0.2149,2021.02.11 03:20:34.281
4,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_004.bmp,0.2866,2021.02.11 03:20:34.353
5,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_005.bmp,0.3583,2021.02.11 03:20:34.425
6,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_006.bmp,0.4300,2021.02.11 03:20:34.496
7,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_007.bmp,0.5016,2021.02.11 03:20:34.568
8,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_008.bmp,0.5733,2021.02.11 03:20:34.640
9,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_009.bmp,0.6450,2021.02.11 03:20:34.711
10,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live1_010.bmp,0.7883,2021.02.11 03:20:34.855
